X0,encoded_ocean_proximity,longitude,latitude,housing_median_age,population,median_income,median_house_value
1,1,-122.23,37.88,41,322,8.3252,452600
1,1,-122.22,37.86,21,2401,8.3014,358500
1,1,-122.24,37.85,52,496,7.2574,352100
1,1,-122.25,37.85,52,558,5.6431,341300
1,1,-122.25,37.85,52,565,3.8462,342200
1,1,-122.25,37.85,52,413,4.0368,269700
1,1,-122.25,37.84,52,1094,3.6591,299200
1,1,-122.25,37.84,52,1157,3.12,241400
1,1,-122.26,37.84,42,1206,2.0804,226700
1,1,-122.25,37.84,52,1551,3.6912,261100
1,1,-122.26,37.85,52,910,3.2031,281500
1,1,-122.26,37.85,52,1504,3.2705,241800
1,1,-122.26,37.85,52,1098,3.075,213500
1,1,-122.26,37.84,52,345,2.6736,191300
1,1,-122.26,37.85,52,1212,1.9167,159200
1,1,-122.26,37.85,50,697,2.125,140000
1,1,-122.27,37.85,52,793,2.775,152500
1,1,-122.27,37.85,52,648,2.1202,155500
1,1,-122.26,37.84,50,990,1.9911,158700
1,1,-122.27,37.84,52,690,2.6033,162900
1,1,-122.27,37.85,40,409,1.3578,147500
1,1,-122.27,37.85,42,929,1.7135,159800
1,1,-122.27,37.84,52,1015,1.725,113900
1,1,-122.27,37.84,52,853,2.1806,99700
1,1,-122.27,37.84,52,1006,2.6,132600
1,1,-122.28,37.85,41,317,2.4038,107500
1,1,-122.28,37.85,49,607,2.4597,93800
1,1,-122.28,37.85,52,1102,1.808,105500
1,1,-122.28,37.84,50,1131,1.6424,108900
1,1,-122.28,37.84,52,395,1.6875,132000
1,1,-122.28,37.84,49,863,1.9274,122300
1,1,-122.28,37.84,52,1168,1.9615,115200
1,1,-122.27,37.84,48,1026,1.7969,110400
1,1,-122.27,37.83,49,754,1.375,104900
1,1,-122.27,37.83,51,1258,2.7303,109700
1,1,-122.27,37.83,49,570,1.4861,97200
1,1,-122.27,37.83,48,987,1.0972,104500
1,1,-122.28,37.83,52,901,1.4103,103900
